"No.","Time","Source","Destination","Protocol","Length","Info"
"1210","639.826534","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","20","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1214","639.916238","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","28","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1217","640.275557","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","43","Rcvd Handle Value Notification, Handle: 0x001a (Unknown: Unknown)"
"1221","640.367219","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","14","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1225","640.466875","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","32","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1229","640.546323","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","32","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1233","640.636157","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","32","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1237","640.815625","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","13","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1241","640.906284","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","14","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1247","640.996209","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","32","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1251","641.265757","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1252","641.310513","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1253","641.400559","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1254","641.445511","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1255","641.535568","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1256","641.625900","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1257","641.670861","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1258","641.760741","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1259","641.805680","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1260","641.895700","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1261","641.940552","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1262","642.030548","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1283","642.120553","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1284","642.165641","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1285","642.255558","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1286","642.300508","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1287","642.390564","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1288","642.480777","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1289","642.525549","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1290","642.615560","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
